Triads,TPMA,TPMB,TPMC
Mhu01Ag03390_Mhu01Bg02530_Mhu01Cg02290,4.15601,3.95991,4.75169
Mhu01Ag03430_Mhu01Bg02560_Mhu01Cg02320,3.81899,9.76497,5.77667
Mhu01Ag03440_Mhu01Bg02580_Mhu01Cg02330,2.51837,2.71255,2.45122
Mhu01Ag03490_Mhu01Bg02640_Mhu01Cg02370,6.05669,5.95359,2.33333
Mhu01Ag03500_Mhu01Bg02650_Mhu01Cg02380,3.05935,2.68137,2.52937
Mhu01Ag03510_Mhu01Bg02670_Mhu01Cg02400,2.33333,13.5705,5.84482
Mhu01Ag03520_Mhu01Bg02680_Mhu01Cg02410,45.8061,40.2124,44.1347
Mhu01Ag03530_Mhu01Bg02690_Mhu01Cg02420,2.33333,2.33333,2.64842
Mhu01Ag03680_Mhu01Bg02780_Mhu01Cg02550,12.9249,9.88458,15.4067
Mhu01Ag03710_Mhu01Bg02800_Mhu01Cg02580,29.6868,18.9172,31.5312
Mhu01Ag03750_Mhu01Bg02830_Mhu01Cg02590,2.33333,2.33333,2.33333
Mhu01Ag03760_Mhu01Bg02840_Mhu01Cg02600,9.47565,3.18535,3.99077
Mhu01Ag03770_Mhu01Bg02850_Mhu01Cg02610,11.8863,12.7185,6.87421
Mhu01Ag03850_Mhu01Bg02920_Mhu01Cg02670,32.3808,5.34683,21.5858
Mhu01Ag03890_Mhu01Bg02980_Mhu01Cg02730,3.48708,6.28043,7.98598
Mhu01Ag03900_Mhu01Bg02990_Mhu01Cg02740,5.51066,9.11721,10.3859
Mhu01Ag03930_Mhu01Bg03010_Mhu01Cg02780,35.9017,3.5563,4.01952
Mhu01Ag03980_Mhu01Bg03070_Mhu01Cg02830,116.621,23.8447,15.5246
Mhu01Ag03990_Mhu01Bg03080_Mhu01Cg02850,2.62849,2.39464,2.33333
Mhu01Ag04020_Mhu01Bg03120_Mhu01Cg02880,5.13414,4.10388,4.08373
Mhu01Ag04030_Mhu01Bg03130_Mhu01Cg02890,2.90941,3.29964,3.21124
Mhu01Ag04050_Mhu01Bg03160_Mhu01Cg02930,12.1345,16.341,36.2914
Mhu01Ag04060_Mhu01Bg03170_Mhu01Cg02940,2.33333,2.52669,2.56402
Mhu01Ag04120_Mhu01Bg03200_Mhu01Cg03010,5.67709,5.56053,2.33333
Mhu01Ag04150_Mhu01Bg03210_Mhu01Cg03030,12.743,17.5941,6.80566
Mhu01Ag04170_Mhu01Bg03230_Mhu01Cg03050,2.79939,33.6627,2.33333
Mhu01Ag04200_Mhu01Bg03270_Mhu01Cg03090,2.33333,2.33333,2.33333
Mhu01Ag04220_Mhu01Bg03280_Mhu01Cg03100,2.43296,2.56855,2.46901
Mhu01Ag04250_Mhu01Bg03290_Mhu01Cg03130,2.33333,2.33333,2.33333
Mhu01Ag04270_Mhu01Bg03310_Mhu01Cg03150,8.5595,5.01804,4.18423
Mhu01Ag04290_Mhu01Bg03330_Mhu01Cg03160,2.33333,8.97368,8.32392
Mhu01Ag04310_Mhu01Bg03350_Mhu01Cg03180,2.58494,2.33333,2.33333
Mhu01Ag04320_Mhu01Bg03360_Mhu01Cg03190,2.33333,2.33333,2.33333
Mhu01Ag04330_Mhu01Bg03370_Mhu01Cg03200,2.33333,2.33333,2.33333
Mhu01Ag04340_Mhu01Bg03380_Mhu01Cg03210,2.33333,3.69209,5.968
Mhu01Ag04410_Mhu01Bg03410_Mhu01Cg03290,81.7686,35.1456,6.48048
Mhu01Ag04440_Mhu01Bg03420_Mhu01Cg03320,5.25358,2.35888,13.6864
Mhu01Ag04450_Mhu01Bg03440_Mhu01Cg03330,3.46736,5.44851,4.84246
Mhu01Ag04470_Mhu01Bg03490_Mhu01Cg03340,2.90711,2.53821,2.33333
Mhu01Ag04630_Mhu01Bg03630_Mhu01Cg03480,4.75351,8.71424,9.56819
Mhu01Ag04650_Mhu01Bg03650_Mhu01Cg03490,2.33333,2.33333,2.81997
Mhu01Ag04690_Mhu01Bg03700_Mhu01Cg03560,3.40582,2.33333,2.37714
Mhu01Ag04700_Mhu01Bg03710_Mhu01Cg03570,2.81989,2.33333,2.33333
Mhu01Ag04730_Mhu01Bg03740_Mhu01Cg03590,2.58665,2.41522,2.33483
Mhu01Ag04760_Mhu01Bg03770_Mhu01Cg03620,3.94775,2.72166,6.13076
Mhu01Ag04770_Mhu01Bg03790_Mhu01Cg03640,7.18477,5.38438,8.3524
Mhu01Ag04830_Mhu01Bg03830_Mhu01Cg03720,69.1401,8.02739,2.43903
Mhu01Ag04860_Mhu01Bg03850_Mhu01Cg03740,2.33333,14.0992,8.67294
